Time_Seconds,Heart_Rate_BPM
1.1480000000000001,68.07991900659104
2.024,71.63349508865497
2.7880000000000003,66.80265500556452
3.912,67.33609075856242
4.768,54.67159380087175
6.248,54.06013007901436
7.412,44.98135838342023
8.812,81.97289537495723
9.208,87.51803751803752
10.088000000000001,98.35795137302674
10.884,79.70003462593803
11.512,74.703258352566
12.64,73.61609175032403
15.168000000000001,64.81043264674013
16.036,69.80720892011215
16.916,68.70452719816437
17.788,77.51018630174826
18.416,72.38854737729244
19.552,74.32838945132593
20.356,66.87149959580319
21.176000000000002,73.30432733144782
22.008,80.68676995702958
22.628,77.21702814664076
23.584,88.38983421381303
24.152,76.131769697684
25.152,83.94689978954185
25.848,75.61735261401557
26.592000000000002,81.93314208769978
27.352,78.45003515631699
28.144000000000002,78.74222776968773
28.88,79.30815872611103
29.624000000000002,86.52316594111825
30.240000000000002,79.84105617632851
31.216,80.13324878969925
31.952,74.83962936564504
32.688,80.66361556064072
33.448,79.80549199084668
34.208,79.65860597439544
34.948,79.52082697191543
35.712,78.84606313925686
36.492,77.99704658343401
37.256,78.84606313925686
37.996,78.71524157986387
38.78,78.57889777532634
39.548,78.72578379177759
40.284,78.59629037004339
41.072,83.41882123424092
41.72,77.078241524096
42.68,76.95005611672278
43.472,69.8953823953824
44.312,72.87157287157288
45.152,72.74467575975113
45.948,73.089741322208
46.776,74.92124315370984
47.556000000000004,76.11140448669053
48.316,77.20934036723511
49.108000000000004,77.20934036723511
49.888,76.53457653457653
50.668,74.97873374650626
51.512,73.37616964394215
52.344,74.90905704639476
53.08,76.98557045822847
53.856,79.26289839345112
54.616,79.56151282250035
55.344,79.82998361287835
56.112,77.21087660364911
56.956,75.78001579778831
57.724000000000004,76.47631704556014
58.472,78.28983866273782
59.256,77.75837607770382
60.04,77.47543461829176
60.796,80.53665910808768
61.496,84.09622246831549
62.184000000000005,85.73108365373847
62.896,86.57141978819226
63.576,86.40338645037804
64.268,86.09127658770636
64.988,82.99530135550822
65.748,80.4093567251462
66.508,80.88016651798989
67.21600000000001,79.81690229683093
68.008,78.62674096385024
68.804,77.70055776481347
69.536,80.22581029006598
70.256,82.57270962188994
70.984,83.18326614415999
71.7,84.47525580824268
72.388,84.47525580824268
73.116,84.7908824850094
73.824,84.29254361457751
74.524,82.99802661325423
75.288,82.07184341421745
76.02,80.67432788626715
76.756,81.96884488759042
77.484,81.38440843044424
78.232,81.53289975855067
78.964,81.68468167828838
79.688,82.12062680732814
80.424,82.57600021352123
81.144,83.85342492530228
81.836,85.25094045325258
82.536,85.25094045325258
83.256,84.12698412698411
83.976,83.80414312617702
84.684,82.4813918034257
85.44,81.73064105267494
86.18,81.8911443911444
86.884,82.90864540864541
87.612,83.05553142509663
88.348,82.27074990827093
89.072,82.42253182800864
89.796,81.42662925573458
90.56,79.18303052336785
91.348,80.29435331501071
92.044,81.29025588728479
92.78,83.08345827086455
93.516,81.22954651706404
94.26,82.62706204501436
94.96000000000001,83.54303664198552
95.672,84.43909398965577
96.392,82.46341009907827
97.144,81.5474355021071
97.88,79.94766819553351
98.644,80.67432788626715
99.376,82.07184341421745
100.07600000000001,84.30292385210417
100.78,85.07040712096891
101.492,85.23461073344839
102.188,85.23461073344839
102.892,83.59974954802541
103.648,81.04212783532155
104.412,80.88162449685211
105.12,81.16456595626416
105.86800000000001,78.68323794951493
106.712,78.68323794951495
107.42,79.26767440666114
