Time_Seconds,Heart_Rate_BPM
1.3,87.09575254249216
1.928,89.95924802827575
2.584,89.95924802827575
3.3080000000000003,85.88989204809175
4.0280000000000005,82.72449154162766
4.76,82.27409519284072
5.496,82.27409519284073
6.216,82.42421829378351
6.944,81.56609472398945
7.704,79.29852102784433
8.488,78.70771398542439
9.232,79.12989242617869
9.98,79.52642409584136
10.752,78.1549077473665
11.536,78.59085287640625
12.272,79.56583755521844
13.016,80.51065992861224
13.772,79.79177334016043
14.528,80.23245728163761
15.26,80.23245728163761
16.016000000000002,79.55062670289982
16.792,78.13495808261045
17.564,78.4178995420225
18.312,78.82271413693803
19.076,79.2317678593269
19.836000000000002,80.27157772266617
20.556,82.5026581605529
21.26,83.96464646464645
21.98,83.50927305845337
22.712,81.98190257946999
23.456,81.98190257946999
24.176000000000002,81.68652523491232
24.916,81.83183183183183
25.656,81.22796709753231
26.392,82.29082771095472
27.104,83.19676157778244
27.82,83.95580942815893
28.536,83.95580942815893
29.248,84.75848071821223
29.944,84.91540746480692
30.656000000000002,84.60329760213526
31.376,82.32269187325366
32.132,81.85711362506942
32.856,81.85711362506942
33.576,82.87461464257044
34.304,82.57270962188994
35.036,82.8848194845616
35.748,83.6608795826556
36.456,83.96278460333609
37.18,82.05090743409085
37.944,80.6840402935769
38.688,80.53225837383918
39.416000000000004,80.80927435766145
40.172000000000004,79.83428967884926
40.944,78.81678866134824
41.7,79.68416657790648
42.432,80.80445785363818
43.172000000000004,81.37645842563875
43.912,81.67836344631924
44.636,82.89992398991369
45.344,83.8058578567414
46.06,83.5039528360609
46.792,82.4292783089177
47.528,82.4292783089177
48.244,81.8448418517715
48.992000000000004,80.71259547495991
49.76,79.66135501121269
50.504,80.85634799062893
51.22,81.8417083509893
51.96,82.13390096436004
52.696,82.44952764112675
53.404,84.15813279800777
54.1,85.07410739497895
54.812,84.75848071821223
55.528,83.19676157778244
56.264,83.67830250876158
56.964,83.06774598649153
57.696,82.48957762386434
58.448,79.5591746934614
59.228,79.26379734890372
59.968,78.98384214173687
60.728,78.98384214173689
61.508,78.13482558591404
62.272,79.44334550449503
62.996,80.6840402935769
63.74,81.38775025248025
64.484,81.38775025248025
65.208,82.59591746282216
65.92,83.03660140429932
66.652,82.15025992647263
67.4,81.38277665760789
68.132,81.53289975855067
68.86,81.8219588711392
69.60000000000001,81.67346754303276
70.336,82.13390096436002
71.052,82.13390096436004
71.792,81.8417083509893
72.536,81.38127492966203
73.264,81.97855729490018
73.988,82.1238638918197
74.72800000000001,81.38930433373072
75.476,81.237522413993
76.20400000000001,82.45908295758744
76.912,83.49889282092671
77.632,83.34876971998393
78.364,82.27409519284072
79.10000000000001,82.4292783089177
79.816,82.88465171511078
80.536,83.4885164494103
81.256,83.02808302808302
81.984,82.87461464257044
82.708,83.34542443541413
83.416,83.65067474066443
84.136,83.34876971998393
84.868,82.1272091763895
85.608,82.75852230770263
86.312,83.21389571389571
87.032,83.96464646464645
87.752,83.33333333333333
88.47200000000001,84.12698412698413
89.172,85.25094045325258
89.864,85.88225358456572
