Time_Seconds,Heart_Rate_BPM
1.204,118.8034188034188
2.028,99.32419002186444
2.888,92.82103134479271
3.44,106.6575093322141
3.864,144.3773051348233
4.192,147.82796075939194
4.888,158.12941380645333
5.5120000000000005,138.47611809994254
5.996,159.03454227282455
6.328,131.5033976654875
8.132,138.72477293628907
8.544,136.62334396458832
8.888,152.13776965865472
9.568,125.42814147363755
10.484,109.3054133126057
10.96,92.09945542868171
11.668000000000001,101.71193517381369
12.432,97.00856128694551
12.968,115.48894567894084
14.268,147.333544038944
14.584,164.36793729007968
15.636000000000001,166.6585731706001
16.288,162.19096334185846
16.628,151.32139812446718
17.284,137.02401250355214
17.86,128.20048309178745
18.26,123.18376068376068
18.78,129.78385251112525
19.264,108.5194846950333
19.96,101.30794623349482
20.6,118.12516706762898
20.944,137.466457960644
21.36,172.0059316448545
21.664,160.5953687237504
22.212,145.4131824889326
22.82,117.21769376712808
23.668,111.81103585409805
24.152,130.99963234532612
24.536,116.99055304329747
25.384,117.68504571639976
25.86,128.10171238306643
26.18,150.38836635571658
26.96,148.05409931556719
27.676000000000002,138.74558867726932
28.3,135.60907177928453
28.768,139.02998037260693
29.232,133.00830233165954
30.592000000000002,133.0083023316595
31.060000000000002,117.83781494965218
32.004,107.43270951125042
32.548,102.57645465499556
33.188,116.66030048382989
33.664,121.21790865106372
34.148,143.58008462769754
34.480000000000004,168.2299445716751
34.78,158.35417140259148
35.7,158.35417140259148
36.032000000000004,157.47697842013534
36.336,187.00604729572976
36.664,152.80675010697473
37.432,113.19528689396842
38.196,106.56750322482736
38.564,141.50144631425826
39.092,156.30704240043113
39.58,147.83077594650211
40.172000000000004,144.32643055822064
40.52,153.34282400084362
40.92,173.26073805202662
41.224000000000004,174.61300309597522
41.564,187.11300309597522
42.584,162.6458434613515
43.324,167.1134532900931
43.64,152.23250090914073
44.06,132.1867826042348
45.0,106.20907619954936
45.536,98.27256826304142
46.284,117.6463790224256
46.776,120.655526831766
47.38,133.05632048255967
47.764,147.96146953405017
48.24,138.12669376693768
48.896,112.08502710027099
49.664,82.9844979997419
50.42,78.81248259537733
51.424,94.78762265139973
51.9,110.34940291906234
52.664,140.213388726277
53.784,141.67484287315315
54.244,151.74136948379743
54.628,151.1171497584541
55.26,173.4283625730994
55.564,177.52480452066493
56.148,157.6835346793951
56.988,128.65876687753752
57.744,129.95025596445475
58.276,128.2495756923459
58.864000000000004,127.45609283157569
59.42,104.23140380622534
60.004,122.8493773114169
60.384,113.33318074486061
61.404,132.27809476409698
61.78,128.66612365986583
62.188,144.22790392752844
62.664,128.07345160286334
63.664,121.07065048241518
64.14,111.73358232181761
64.752,120.56810491780809
65.188,106.79988576574048
65.896,114.120147203649
66.984,99.30448819173947
67.628,137.72256728778467
68.384,147.22751778283418
69.044,178.67161716171614
69.636,166.95000544010446
70.0,160.18009768009767
70.648,141.1583585496629
71.108,150.31586770717206
71.60000000000001,127.50114369722893
72.78,135.56927458024103
73.664,133.19510553940532
73.988,176.56592605481205
74.82000000000001,170.06457934727976
75.264,147.39868428555138
75.776,114.59534992309382
76.432,116.2792768406656
76.86,118.53909089025238
77.624,130.06809273489267
78.10000000000001,125.00578743894252
78.76,146.97461262986207
79.236,148.43606677673822
79.696,150.24766097963675
80.156,141.30434782608694
81.3,132.54830917874395
81.876,125.30193236714975
82.428,114.0575545560553
82.892,128.8402828288826
83.296,147.55345371596653
83.66,147.92826630966965
84.12,137.18300573710079
84.768,123.22155734942288
85.256,134.0911225668142
85.624,145.83648314938407
86.02,146.8696833146961
86.496,130.6897961590373
87.032,118.35268458528446
88.028,116.6584585077567
88.78,106.58040721690843
89.492,112.27211740841774
90.388,108.98657380029348
90.928,137.71486797802586
91.28,147.6186597154339
91.652,153.68507095425892
92.116,147.37193964112763
92.632,135.9813801368448
93.352,133.86153841835974
93.84,126.09153064835198
94.596,125.38531595908643
95.24,126.41851612439847
95.71600000000001,115.94153790548475
96.336,135.25048099491565
96.664,154.20928402832413
96.992,186.88628444726004
97.3,170.15846230178195
97.956,162.3743419073865
98.33200000000001,133.9356273372851
99.164,131.7046464493547
99.85600000000001,104.15418272867822
100.636,118.16288286876521
101.032,137.87447120780453
101.35600000000001,150.4013844980766
101.88,136.1282180509971
102.432,119.44486803431377
102.876,145.37949320558016
103.188,166.61887351542524
103.536,187.3633021545907
103.84,166.73899892159181
104.3,175.9344012204424
104.60000000000001,147.45836037205277
105.136,144.6305060065526
105.628,123.41838479443138
106.272,129.20840023447255
106.736,114.7360042016117
107.5,106.87544370947228
108.032,119.95177071450908
108.632,131.65254812209275
109.452,139.51310861423218
109.892,141.47286821705424
110.236,147.4537294610734
110.69200000000001,134.8939208486332
111.3,134.8939208486332
111.644,141.53932223087668
112.536,139.50878291963565
113.38,137.54902331681356
113.736,129.7790155468058
114.20400000000001,128.85493777642066
114.872,126.43860335573683
115.532,136.89504998239622
116.372,134.57923961418237
117.096,113.49553731605882
117.708,116.48382323525556
118.06400000000001,145.03928912388923
119.668,160.90323988218609
120.08,128.1976430050431
121.084,91.62571086139911
122.584,84.74868820767745
123.06400000000001,102.94117647058823
123.544,133.83838383838383
123.94,130.05050505050505
124.468,130.05050505050505
124.94800000000001,121.91833590138674
126.07600000000001,108.54935194416748
127.184,116.38763577255033
127.58800000000001,126.09808774995146
127.97200000000001,132.07608870643162
128.62800000000001,115.46587505348737
129.236,114.40294988341935
129.984,115.16514500537056
130.88400000000001,110.36029580371473
131.596,92.89693462031519
132.368,90.54866872436145
133.196,114.00517283648932
133.584,110.75115615965386
134.812,128.1457183519039
135.764,119.33436933436931
136.232,133.2791266419585
136.684,127.96643690303924
137.368,119.47796951046226
137.952,126.77657365242011
138.524,134.3366564154314
139.204,158.2296159566866
139.548,158.2296159566866
139.936,160.70633479956356
140.328,146.04506078540786
140.984,129.46370399786548
141.556,117.81337457475766
142.44400000000002,113.09480362767306
143.476,121.23321693850016
143.94,133.94647153167602
144.324,138.66504247876063
144.784,161.35106788710908
145.088,169.50869840919742
145.42000000000002,189.3215767801385
145.736,188.46716803099292
146.044,170.59908553150345
146.516,164.7792106588132
147.15200000000002,163.1352849642546
147.468,163.86585188418448
147.93200000000002,160.15802837658345
148.6,127.92278975719512
149.532,103.4067020761286
150.608,105.82303649681242
150.964,93.63506040399629
152.024,125.04769980920076
152.424,100.11792452830188
153.168,143.75
153.644,153.27380952380952
154.116,166.66666666666666
154.564,168.26923076923077
154.876,141.85800402687818
155.48,127.88999350978793
156.296,121.25869377503992
156.644,143.7016665491385
157.004,158.89837955639916
157.44,132.67711518858306
158.364,143.78822629969417
158.66400000000002,126.32575757575756
159.492,139.32354518637703
159.94400000000002,105.9902118530437
161.004,109.83918546008182
161.624,85.43266769073219
162.84,101.60428485244836
163.244,136.012887002986
163.544,156.8220236657812
164.036,150.05211590577443
164.504,125.05211590577443
165.168,108.91151332327803
166.256,99.28905336969224
166.86,89.8804512191546
167.48,121.55042257848484
167.836,117.84960450291024
168.6,149.69410408934533
169.084,136.2493715434892
169.552,164.97714172132777
170.016,154.0660669804658
170.392,145.5775995878888
171.748,117.02386352073592
172.424,88.70799604958106
173.34,94.46142070711531
173.84,122.34688625836334
174.596,140.9495252373813
175.736,141.93313179475837
176.512,137.65335678864437
177.16,146.8066748664476
177.54,153.89999138599362
177.95600000000002,146.16304747883694
178.39600000000002,158.46653346653346
178.704,141.44551101072838
179.348,138.36384691211515
179.82,99.06980761807586
180.6,113.88546662998536
181.036,118.68239659480788
181.46,115.87242118209274
182.336,131.7292566107936
182.66,139.50450023509384
183.16400000000002,169.86493936848547
183.54,159.1569524700224
183.93200000000002,146.58477888089965
184.404,119.03431516022314
185.184,110.03071371964691
185.66,98.52202989457889
186.308,126.64444511376831
186.976,113.69740583293971
187.66400000000002,129.1295045983718
188.216,109.37966918033362
188.984,119.99244142101284
190.324,140.3628117913832
190.624,134.1269841269841
191.344,128.92720306513408
192.124,104.63341775439963
192.596,119.95908825248392
193.24,151.2658033160048
193.544,144.86414498165533
194.39600000000002,141.44323638833293
195.168,141.44323638833293
195.472,149.3316624895572
195.928,147.5279106858054
196.45600000000002,131.7384370015949
197.1,141.64222873900292
197.672,146.8668891360771
198.136,123.04489960728131
198.9,115.15301838009378
199.68,111.4196488443892
200.44,136.2620465364503
201.092,145.94604245897833
201.74,137.06376859686964
202.39600000000002,122.80806631595728
203.276,130.54365000090803
203.592,150.56089562790976
203.988,177.89875384812092
204.3,157.34265734265733
205.548,147.4880133416719
206.04,112.97124805567582
207.3,100.53923562366337
207.96,102.9922773954604
208.704,98.91668266052503
209.66400000000002,110.6304590801838
210.14000000000001,118.54741896758702
210.624,138.4917603404998
211.564,126.96275849585953
212.516,97.03939674609634
213.464,85.14189827141666
214.06,87.76667617482482
214.844,117.69003792458801
215.668,126.14979766741132
216.144,132.71975456849404
216.648,134.89083576693088
217.024,148.42958459979735
217.38400000000001,172.03818415776402
217.88,162.7063439188689
218.336,159.23412169664667
219.096,130.18955779860607
219.952,130.57769628641853
220.404,114.72624701105623
221.276,117.24437755094343
221.948,126.760030800539
222.52,157.19481340923465
222.82,165.47515257192674
223.264,151.39425139425137
223.768,126.74439145027378
224.424,133.78267973856208
224.808,136.4730214119546
225.496,137.93447555883074
226.244,126.50154872956247
226.73600000000002,126.50154872956247
227.208,135.10662119333057
227.592,161.12288135593218
227.892,147.15909090909088
228.812,133.83544749823818
229.588,103.66513119653503
230.136,120.71058574198958
230.808,110.52232439093753
231.792,101.8037518037518
232.512,90.83196496989599
233.368,102.26053639846742
233.99200000000002,116.14942528735631
234.472,113.7179487179487
235.096,133.9589125733704
235.428,135.3956941825658
235.892,150.96345975033137
236.312,113.65827571142344
237.184,130.79579129098306
237.516,111.9123758558435
238.21200000000002,126.01363307636677
238.752,113.3917168399927
239.172,115.71198527720267
239.816,141.96608748067194
240.132,137.4504881374864
240.596,143.43162455340544
241.136,117.45391814871999
241.672,135.32607962895548
242.0,142.5368302025379
242.452,148.70165823628224
243.22,124.49075436253763
243.88,123.34641502778024
244.344,143.9707182607791
244.656,165.3455472621471
245.0,187.17716392134997
